scene ok
idle (hall, far from antechamber): {"density":0.012}
# bias ON — density along tour
t=4s {"density":0.012}
t=8s {"density":0.012}
t=12s {"density":0.012}
t=16s {"density":0.012}
t=20s {"density":0.012}
t=24s {"density":0.012}
t=28s {"density":0.012}
t=32s {"density":0.012}
t=36s {"density":0.012}
t=40s {"density":0.012}
t=44s {"density":0.012}
t=48s {"density":0.012}
t=52s {"density":0.01238}
t=56s {"density":0.0127}
t=60s {"density":0.01273}
# bias OFF — density along tour
t=4s {"density":0.012}
t=8s {"density":0.012}
t=12s {"density":0.012}
t=16s {"density":0.012}
t=20s {"density":0.012}
t=24s {"density":0.012}
t=28s {"density":0.012}
t=32s {"density":0.012}
t=36s {"density":0.012}
t=40s {"density":0.012}
t=44s {"density":0.012}
t=48s {"density":0.012}
t=52s {"density":0.012}
t=56s {"density":0.012}
t=60s {"density":0.012}
